target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other
battleshipnc.com/,battleshipnc.com,,,,,,,,,
baxley.org/,baxley.org,,,,,,,,,
baxter-iowa.com/,baxter-iowa.com,,,,,,,,,
baxtercounty.org/,baxtercounty.org,,,,,,,,,
baxterestates.org/index.html,baxterestates.org,,,,,,,,,
baycitymi.org/,baycitymi.org,,,,,,,,,
baycitywi.org/,baycitywi.org,,,,,,,,,
bayfieldcounty.org/,bayfieldcounty.org,,,,,,,,,
bayharborislands.org/,bayharborislands.org,,,,,,,,,
bayheadnj.org/bhnj/,bayheadnj.org,,,,,,,,,
baylorcountytexas.us/,baylorcountytexas.us,,,,,,,,,
www.baymills.org/,baymills.org,,,,,,,,,
www.bayonnenj.org/,bayonnenj.org,,,,,,,,,
baytown.org/,baytown.org,,,,,,,,,
bbna.com/,bbna.com,,,,,,,,,
www.bcnv.org/,bcnv.org,,,,,,,,,
www.bcua.org/,bcua.org,,,,,,,,,
beachwoodohio.com/,beachwoodohio.com,,,,,,,,,
beachwoodusa.com/,beachwoodusa.com,,,,,,,,,
beadle.sdcounties.org/,beadle.sdcounties.org,,,,,,,,,
www.bearlakecounty.info/,bearlakecounty.info,,,,,,,,,
www.bearlakemichigan.org/,bearlakemichigan.org,,,,,,,,,
beaufortnc.org/,beaufortnc.org,,,,,,,,,
beaver.okcounties.org/,beaver.okcounties.org,,,,,,,,,
beavercreektownship.org/,beavercreektownship.org,,,,,,,,,
beaverheadcounty.org/,beaverheadcounty.org,,,,,,,,,
beaverpa.us/,beaverpa.us,,,,,,,,,
www.beavertonmi.org/,beavertonmi.org,,,,,,,,,
beaverutah.net/,beaverutah.net,,,,,,,,,
beckham.okcounties.org/,beckham.okcounties.org,,,,,,,,,
beckley.org/,beckley.org,,,,,,,,,
bedfordmi.org/,bedfordmi.org,,,,,,,,,
bedfordnh.org/Pages/index,bedfordnh.org,,,,,,,,,
www.bedminster.us/,bedminster.us,,,,,,,,,
belaireks.org/,belaireks.org,,,,,,,,,
www.belairmd.org,belairmd.org,,,,,,,,,
belchertown.org/,belchertown.org,,,,,,,,,
bellacresborough.org/,bellacresborough.org,,,,,,,,,
www.bellairemichigan.com/,bellairemichigan.com,,,,,,,,,
bellcountytx.com/,bellcountytx.com,,,,,,,,,
belleairbluffs.org/,belleairbluffs.org,,,,,,,,,
bellefonte.net/,bellefonte.net,,,,,,,,,
www.belleplaineiowa.us/,belleplaineiowa.us,,,,,,,,,
www.belleplainemn.com/,belleplainemn.com,,,,,,,,,
bellerosevillage.org/,bellerosevillage.org,,,,,,,,,
belleterre.us/Home/tabid/115/Default.aspx,belleterre.us,,,,,,,,,
belleville.net/,belleville.net,,,,,,,,,
www.bellevillenj.org/,bellevillenj.org,,,,,,,,,
www.bellevillewi.org/,bellevillewi.org,,,,,,,,,
bellevue.net/,bellevue.net,,,,,,,,,
www.bellevuepa.org/,bellevueboro.com,,,,,,,,,
bellevueky.org/,bellevueky.org,,,,,,,,,
bellflower.org/home/index.asp,bellflower.org,,,,,,,,,
www.bellgardens.org,bellgardens.org,,,,,,,,,
www.bellinghamma.org/Pages/index,bellinghamma.org,,,,,,,,,
www.bellmawr.com/,bellmawr.com,,,,,,,,,
www.bellportvillage.org/ny/,bellportvillage.org,,,,,,,,,
belmar.com/,belmar.com,,,,,,,,,
www.belmontcountyohio.org/,belmontcountyohio.org,,,,,,,,,
belmontnh.org/,belmontnh.org,,,,,,,,,
www.beloitks.org/,beloitks.org,,,,,,,,,
belton.org/,belton.org,,,,,,,,,
www.belview.org/default.aspx,belview.org,,,,,,,,,
www.bemidjitownship.com/,bemidjitownship.com,,,,,,,,,
benavon.com/,benavon.com,,,,,,,,,
benavonheightsborough.com/,benavonheightsborough.com,,,,,,,,,
www.benefeds.com/,benefeds.com,,Office of Personnel Management (OPM),,,,,,,
benhillcounty.com/,benhillcounty.com,,,,,,,,,
#N/A,bennertownship.org,,,,,,,,,
bennettsvillesc.com/,bennettsvillesc.com,,,,,,,,,
bennington.org/,bennington.org,,,,,,,,,
www.bensalempa.gov/,bensalemtwp.org,,,,,,,,,
bensenville.il.us/,bensenville.il.us,,,,,,,,,
benson-vt.com/,benson-vt.com,,,,,,,,,
www.bensonmn.org/,bensonmn.org,,,,,,,,,
bentonvillear.com/,bentonvillear.com,,,,,,,,,
www.nchistoricsites.org/bentonvi/,bentonvillebattlefield.com,,,,,,,,,
www.bentonwi.us/,bentonwi.us,,,,,,,,,
www.beresfordsd.com/,beresfordsd.com,,,,,,,,,
bergenfieldboro.com/,bergenfieldboro.com,,,,,,,,,
berkeley-lake.com/,berkeley-lake.com,,,,,,,,,
berkeleycountycomm.org/,berkeleycountycomm.org,,,,,,,,,
berkeleyheightstwp.com/,berkeleyheightstwp.com,,,,,,,,,
